,name,gender,country,country_code,discipline,discipline_code,url,Age
0,AALERUD Katrine,Female,Norway,NOR,Cycling Road,CRD,../../../en/results/cycling-road/athlete-profile-n1346266-aalerud-katrine.htm,29
1,ABAD Nestor,Male,Spain,ESP,Artistic Gymnastics,GAR,../../../en/results/artistic-gymnastics/athlete-profile-n1355250-abad-nestor.htm,31
2,ABAGNALE Giovanni,Male,Italy,ITA,Rowing,ROW,../../../en/results/rowing/athlete-profile-n1321381-abagnale-giovanni.htm,29
3,ABALDE Alberto,Male,Spain,ESP,Basketball,BKB,../../../en/results/basketball/athlete-profile-n1322233-abalde-alberto.htm,28
4,ABALDE Tamara,Female,Spain,ESP,Basketball,BKB,../../../en/results/basketball/athlete-profile-n1322271-abalde-tamara.htm,35
5,ABALO Luc,Male,France,FRA,Handball,HBL,../../../en/results/handball/athlete-profile-n1350409-abalo-luc.htm,39
6,ABAROA Cesar,Male,Chile,CHI,Rowing,ROW,../../../en/results/rowing/athlete-profile-n1309960-abaroa-cesar.htm,27
7,ABASS Abobakr,Male,Sudan,SUD,Swimming,SWM,../../../en/results/swimming/athlete-profile-n1344792-abass-abobakr.htm,25
8,ABBAGNALE Vincenzo,Male,Italy,ITA,Rowing,ROW,../../../en/results/rowing/athlete-profile-n1331787-abbagnale-vincenzo.htm,31
9,ABBASALI Hamideh,Female,Islamic Republic of Iran,IRI,Karate,KTE,../../../en/results/karate/athlete-profile-n1284763-abbasali-hamideh.htm,34
10,ABBASOV Islam,Male,Azerbaijan,AZE,Wrestling,WRE,../../../en/results/wrestling/athlete-profile-n1433032-abbasov-islam.htm,28
11,ABBINGH Lois,Female,Netherlands,NED,Handball,HBL,../../../en/results/handball/athlete-profile-n1456949-abbingh-lois.htm,31
12,ABBOT Emily,Female,Australia,AUS,Rhythmic Gymnastics,GRY,../../../en/results/rhythmic-gymnastics/athlete-profile-n1349883-abbot-emily.htm,27
13,ABBOTT Monica,Female,United States of America,USA,Baseball/Softball,BSB,../../../en/results/baseball-softball/athlete-profile-n1310126-abbott-monica.htm,38
14,ABDALLA Abubaker Haydar,Male,Qatar,QAT,Athletics,ATH,../../../en/results/athletics/athlete-profile-n1328854-abdalla-abubaker-haydar.htm,27
15,ABDALRASOOL Mohamed,Male,Sudan,SUD,Judo,JUD,../../../en/results/judo/athlete-profile-n1898618-abdalrasool-mohamed.htm,30
16,ABDEL LATIF Radwa,Female,Egypt,EGY,Shooting,SHO,../../../en/results/shooting/athlete-profile-n1306332-abdel-latif-radwa.htm,34
17,ABDEL RAZEK Samy,Male,Egypt,EGY,Shooting,SHO,../../../en/results/shooting/athlete-profile-n1306339-abdel-razek-samy.htm,44
18,ABDELAAL Mohamed,Male,Egypt,EGY,Judo,JUD,../../../en/results/judo/athlete-profile-n1301765-abdelaal-mohamed.htm,33
19,ABDELAZIZ Abdalla,Male,Egypt,EGY,Karate,KTE,../../../en/results/karate/athlete-profile-n1306315-abdelaziz-abdalla.htm,25
20,ABDELAZIZ Farah,Female,Egypt,EGY,Table Tennis,TTE,../../../en/results/table-tennis/athlete-profile-n1296357-abdelaziz-farah.htm,31
21,ABDELAZIZ Feryal,Female,Egypt,EGY,Karate,KTE,../../../en/results/karate/athlete-profile-n1306348-abdelaziz-feryal.htm,25
22,ABDELMAWGOUD Mohamed,Male,Egypt,EGY,Judo,JUD,../../../en/results/judo/athlete-profile-n1301783-abdelmawgoud-mohamed.htm,29
23,ABDELMOTTALEB Diaaeldin Kamal Gouda,Male,Egypt,EGY,Wrestling,WRE,../../../en/results/wrestling/athlete-profile-n1307194-abdelmottaleb-diaaeldin-kamal-gouda.htm,31
24,ABDELRAHMAN Ihab,Male,Egypt,EGY,Athletics,ATH,../../../en/results/athletics/athlete-profile-n1312038-abdelrahman-ihab.htm,35
25,ABDELSALAM Mohamed,Male,Egypt,EGY,Football,FBL,../../../en/results/football/athlete-profile-n1381598-abdelsalam-mohamed.htm,26
26,ABDELSALAM Nour,Female,Egypt,EGY,Taekwondo,TKW,../../../en/results/taekwondo/athlete-profile-n1313054-abdelsalam-nour.htm,31
27,ABDELWAHED Ahmed,Male,Italy,ITA,Athletics,ATH,../../../en/results/athletics/athlete-profile-n1305691-abdelwahed-ahmed.htm,28
28,ABDI Bashir,Male,Belgium,BEL,Athletics,ATH,../../../en/results/athletics/athlete-profile-n1401953-abdi-bashir.htm,35
29,ABDIRAHMAN Abdi,Male,United States of America,USA,Athletics,ATH,../../../en/results/athletics/athlete-profile-n1363139-abdirahman-abdi.htm,47
30,ABDUL HADI Farah Ann,Female,Malaysia,MAS,Artistic Gymnastics,GAR,../../../en/results/artistic-gymnastics/athlete-profile-n1464004-abdul-hadi-farah-ann.htm,30
31,ABDUL RAHMAN Kiria Tikanah,Female,Singapore,SGP,Fencing,FEN,../../../en/results/fencing/athlete-profile-n1359420-abdul-rahman-kiria-tikanah.htm,23
32,ABDUL RAZZAQ Fathimath Nabaaha,Female,Maldives,MDV,Badminton,BDM,../../../en/results/badminton/athlete-profile-n1798789-abdul-razzaq-fathimath-nabaaha.htm,24
33,ABDULHAMID Saud,Male,Saudi Arabia,KSA,Football,FBL,../../../en/results/football/athlete-profile-n1484611-abdulhamid-saud.htm,24
34,ABDULJABBAR Ammar Riad,Male,Germany,GER,Boxing,BOX,../../../en/results/boxing/athlete-profile-n1327781-abduljabbar-ammar-riad.htm,28
35,ABDULLAEV Gulomjon,Male,Uzbekistan,UZB,Wrestling,WRE,../../../en/results/wrestling/athlete-profile-n1285960-abdullaev-gulomjon.htm,25
36,ABDULLAEV Muminjon,Male,Uzbekistan,UZB,Wrestling,WRE,../../../en/results/wrestling/athlete-profile-n1284000-abdullaev-muminjon.htm,34
37,ABDULLAH Rahmat Erwin,Male,Indonesia,INA,Weightlifting,WLF,../../../en/results/weightlifting/athlete-profile-n1321507-abdullah-rahmat-erwin.htm,23
