,name,gender,country_code,discipline,function,url,Age
0,ABDELMAGID Wael,Male,EGY,Football,Head Coach,../../../en/results/football/athlete-profile-n1378828-abdelmagid-wael.htm,41
1,ABE Junya,Male,JPN,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1418338-abe-junya.htm,33
2,ABE Katsuhiko,Male,JPN,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1313662-abe-katsuhiko.htm,44
3,ADAMA Cherif,Male,CIV,Football,Head Coach,../../../en/results/football/athlete-profile-n1323707-adama-cherif.htm,62
4,AGEBA Yuya,Male,JPN,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1474027-ageba-yuya.htm,40
5,AIKMAN Siegfried Gottlieb,Male,JPN,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1316889-aikman-siegfried-gottlieb.htm,65
6,AL SAADI Kais,Male,GER,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1319563-al-saadi-kais.htm,47
7,ALAMEDA Lonni,Female,CAN,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1426203-alameda-lonni.htm,53
8,ALEKNO Vladimir,Male,IRI,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1362880-alekno-vladimir.htm,57
9,ALEKSEEV Alexey,Male,ROC,Handball,Coach,../../../en/results/handball/athlete-profile-n1407750-alekseev-alexey.htm,59
10,ALLER CARBALLO Manuel Angel,Male,ESP,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1322498-aller-carballo-manuel-angel.htm,61
11,ALSHEHRI Saad,Male,KSA,Football,Head Coach,../../../en/results/football/athlete-profile-n1484153-alshehri-saad.htm,44
12,ALY Kamal,Male,EGY,Football,Head Coach,../../../en/results/football/athlete-profile-n1378837-aly-kamal.htm,62
13,AMAYA GAITAN Fabian,Male,PUR,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1426069-amaya-gaitan-fabian.htm,40
14,AMO AGUADO Pablo,Male,ESP,Football,Head Coach,../../../en/results/football/athlete-profile-n1328153-amo-aguado-pablo.htm,46
15,ANDONOVSKI Vlatko,Male,USA,Football,Head Coach,../../../en/results/football/athlete-profile-n1332151-andonovski-vlatko.htm,47
16,ANNAN Alyson,Female,NED,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1466872-annan-alyson.htm,50
17,ARNAU CREUS Xavier,Male,JPN,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1424311-arnau-creus-xavier.htm,51
18,ARNOLD Graham,Male,AUS,Football,Head Coach,../../../en/results/football/athlete-profile-n1482580-arnold-graham.htm,60
19,ARZATE Martin,Male,MEX,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1311287-arzate-martin.htm,64
20,AXNER Tomas,Male,SWE,Handball,Coach,../../../en/results/handball/athlete-profile-n1422059-axner-tomas.htm,54
21,BABER Gareth Colin,Male,FIJ,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1282565-baber-gareth-colin.htm,52
22,BACIU Horatiu,Male,ROU,Football,Head Coach,../../../en/results/football/athlete-profile-n1313447-baciu-horatiu.htm,30
23,BANBULA Wojciech,Male,POL,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1432814-banbula-wojciech.htm,35
24,BAO Zhuang,Male,CHN,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1342752-bao-zhuang.htm,54
25,BARYLA Pawel,Male,ROC,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1435984-baryla-pawel.htm,39
26,BASILIO Mel,Female,CAN,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1426204-basilio-mel.htm,43
27,BASSO Paola,Female,GBR,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1425978-basso-paola.htm,53
28,BATCH Colin,Male,AUS,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1483120-batch-colin.htm,66
29,BATISTA Fernando,Male,ARG,Football,Head Coach,../../../en/results/football/athlete-profile-n1359717-batista-fernando.htm,53
30,BATISTA SANTIAGO Gerardo,Male,PUR,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1292801-batista-santiago-gerardo.htm,53
